Name,Image,High-Res Texture,Genuine,Category,Buy,Sell,Color 1,Color 2,Size,Real Artwork Title,Artist,Description,Source,Source Notes,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Speaker Type,Lighting Type,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID,Internal ID as hex
academic painting,,,Yes,Wall-mounted,4980,1245.0,Beige,Beige,1x1,Vitruvian Man,"Leonardo da Vinci, circa 1487, Pen and ink on paper","This drawing is based on the ""ideal"" human-body ratio, as stated in ""De architectura."" ""De architectura"" was a treatise by Vitruvius, an architect from the early 1st century BCE.",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtVitruvianMan,12619,xfTf9sfyLkxHQEz4u,314B
academic painting,,,No,Wall-mounted,4980,,Beige,Beige,1x1,Vitruvian Man,"Leonardo da Vinci, circa 1487, Pen and ink on paper","This drawing is based on the ""ideal"" human-body ratio, as stated in ""De architectura."" ""De architectura"" was a treatise by Vitruvius, an architect from the early 1st century BCE.",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtVitruvianManFake,12620,5KNFAo3LkdTTJPQkd,314C
amazing painting,,,Yes,Wall-mounted,4980,1245.0,Black,Black,2x2,The Night Watch,"Rembrandt van Rijn, 1642, Oil on canvas","This masterpiece, painted by 17th century Dutch artist Rembrandt, depicts a military gathering. At the time, portraits usually showed their subjects standing still. So this was a leap forward in technique. For many years, art scholars thought the painting was set at night, but a restoration revealed a dark varnish. We can now see the dynamic poses and lighting as they were meant to be seen—in the daytime!",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtNightWatch,56,Sg6MCSG3m9tvjGWoj,0038
amazing painting,,,No,Wall-mounted,4980,,Black,Black,2x2,The Night Watch,"Rembrandt van Rijn, 1642, Oil on canvas","This masterpiece, painted by 17th century Dutch artist Rembrandt, depicts a military gathering. At the time, portraits usually showed their subjects standing still. So this was a leap forward in technique. For many years, art scholars thought the painting was set at night, but a restoration revealed a dark varnish. We can now see the dynamic poses and lighting as they were meant to be seen—in the daytime!",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtNightWatchFake,55,vc2Ebu4Pkn443zYiN,0037
ancient statue,,,Yes,Miscellaneous,4980,1245.0,Gray,Gray,1x1,"Jōmon Period ""Dogū"" Figurine Shakōki-dogū","Artist Unknown, 1000-400 BCE, Fired pottery","A mysterious, riveting doll made from kneaded, unglazed dirt during the Jōmon period. Its large round eyes resemble goggles that intercept light, so its name should come as no surprise. ""Shakōki"" means ""light-intercepting goggles,"" and a dogū is a small animal figurine.",Jolly Redd's Treasure Trawler,,451,ancient,harmonious,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureDoguu,1337,zpAsguge9Yb29ksjS,0539
ancient statue,,,No,Miscellaneous,4980,,Gray,Gray,1x1,"Jōmon Period ""Dogū"" Figurine Shakōki-dogū","Artist Unknown, 1000-400 BCE, Fired pottery","A mysterious, riveting doll made from kneaded, unglazed dirt during the Jōmon period. Its large round eyes resemble goggles that intercept light, so its name should come as no surprise. ""Shakōki"" means ""light-intercepting goggles,"" and a dogū is a small animal figurine.",Jolly Redd's Treasure Trawler,,17,horror,,,,Yes,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureDoguuFake,1338,fXbsrcXirg6miBoqT,053A
basic painting,,,Yes,Wall-mounted,4980,1245.0,Black,Blue,1x2,The Blue Boy,"Thomas Gainsborough, 1770, Oil on canvas","Gainsborough was known for his innovative use of colors in his traditional portraits, like this one. Although he preferred painting landscapes, his portraits would be the defining work of his career.",Jolly Redd's Treasure Trawler,,451,expensive,European,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtBlueBoy,14,Xhn8ZjtbdZeET3NXR,000E
basic painting,,,No,Wall-mounted,4980,,Black,Blue,1x2,The Blue Boy,"Thomas Gainsborough, 1770, Oil on canvas","Gainsborough was known for his innovative use of colors in his traditional portraits, like this one. Although he preferred painting landscapes, his portraits would be the defining work of his career.",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrArtBlueBoyFake,13,o4px7Mx9g2Zk6NHvC,000D
beautiful statue,,,Yes,Housewares,4980,1245.0,White,White,1x1,Venus de Milo,"Artist Unknown, circa 130 BCE, Marble","A statue of the Roman goddess of love and beauty, Venus was found on the island of Milos. This beautiful sculpture makes many wonder what her original pose might have been.",Jolly Redd's Treasure Trawler,,451,ancient,European,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureMilo,1341,iscap6FsmDZdNP5dw,053D
beautiful statue,,,No,Housewares,4980,,White,White,1x1,Venus de Milo,"Artist Unknown, circa 130 BCE, Marble","A statue of the Roman goddess of love and beauty, Venus was found on the island of Milos. This beautiful sculpture makes many wonder what her original pose might have been.",Jolly Redd's Treasure Trawler,,17,horror,,,,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,Yes,FtrSculptureMiloFake,1342,w9vrMbhJNj6JHkznu,053E
