Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID,Internal ID as hex
acid-washed jeans,,,Black,No,1320,330,51,Black,Black,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,,Free,Simple,Simple,everyday; outdoorsy,1,No,For sale,1.0.0,Yes,BottomsTexPantsNormalChemical1,649,11385,a7HNjgRFkCznkDLLH,2C79
acid-washed jeans,,,Blue,No,1320,330,51,Blue,Blue,1x1,1200.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,All Year,Free,Simple,Simple,everyday; outdoorsy,2,No,For sale,1.0.0,Yes,BottomsTexPantsNormalChemical0,649,5286,QaecPktemD3XuFdwy,14A6
animal-stripes skirt,,,Zebra,No,1100,275,51,Gray,Black,1x1,990.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Womanly,Cool,Gorgeous,everyday,1,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxStripe1,1093,12067,4mDRmSG3scfXh3oon,2F23
animal-stripes skirt,,,Tiger,No,1100,275,51,Yellow,Black,1x1,990.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Womanly,Cool,Gorgeous,everyday,2,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxStripe0,1093,9842,qmtHwBmtJDvtNntTs,2672
apron skirt,,,Blue,No,700,175,51,White,Aqua,1x1,630.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Simple,Simple,work,1,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxApron1,847,8921,cfzi35RpY8onR3hra,22D9
apron skirt,,,Purple,No,700,175,51,White,Purple,1x1,630.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Simple,Simple,work,2,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxApron0,847,5710,MtsvEMQ9Z9damsycd,164E
apron skirt,,,Beige,No,700,175,51,White,Beige,1x1,630.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Womanly,Simple,Simple,work,3,No,For sale,1.0.0,Yes,BottomsTexSkirtBoxApron2,847,8922,AmWS5iMbatqDr2eLs,22DA
athletic pants,,,Black,No,880,220,51,Black,White,1x1,790.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Active,Active,outdoorsy; comfy; sporty,1,No,For sale,1.0.0,Yes,BottomsTexPantsNormalJersey2,127,11296,8NcTmEpkckocYvTf2,2C20
athletic pants,,,Berry red,No,880,220,51,Red,White,1x1,790.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Active,Active,outdoorsy; comfy; sporty,2,No,For sale,1.0.0,Yes,BottomsTexPantsNormalJersey4,127,11298,HSgcZgAkXCBroWboG,2C22
athletic pants,,,Red,No,880,220,51,Red,White,1x1,790.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Active,Active,outdoorsy; comfy; sporty,3,No,For sale,1.0.0,Yes,BottomsTexPantsNormalJersey0,127,3311,iL9vd8DerEEJDJQbA,0CEF
athletic pants,,,Green,No,880,220,51,Green,White,1x1,790.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Active,Active,outdoorsy; comfy; sporty,4,No,For sale,1.0.0,Yes,BottomsTexPantsNormalJersey1,127,11295,Ygp8L2zeem8ECZroK,2C1F
athletic pants,,,Blue,No,880,220,51,Blue,White,1x1,790.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Active,Active,outdoorsy; comfy; sporty,5,No,For sale,1.0.0,Yes,BottomsTexPantsNormalJersey3,127,11297,R6apb74ivZCDbvEvi,2C21
athletic pants,,,Navy blue,No,880,220,51,Blue,White,1x1,790.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Active,Active,outdoorsy; comfy; sporty,6,No,For sale,1.0.0,Yes,BottomsTexPantsNormalJersey5,127,11299,zauG7p57gDAPSqPH4,2C23
athletic shorts,,,Black,No,560,140,51,Black,White,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Summer,All Year,Free,Active,Active,outdoorsy; comfy; sporty,1,No,For sale,1.0.0,Yes,BottomsTexPantsHalfJersey2,422,11906,XZyRpyaiPbfw5nwTD,2E82
athletic shorts,,,Berry red,No,560,140,51,Red,White,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Summer,,Free,Active,Active,outdoorsy; comfy; sporty,2,No,For sale,1.0.0,Yes,BottomsTexPantsHalfJersey4,422,11908,QWxKgGJSnKgHEyz5Y,2E84
athletic shorts,,,Red,No,560,140,51,Red,White,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Summer,,Free,Active,Active,outdoorsy; comfy; sporty,3,No,For sale,1.0.0,Yes,BottomsTexPantsHalfJersey0,422,4518,Pz4KvZgNanynj88ut,11A6
athletic shorts,,,Green,No,560,140,51,Green,White,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Summer,,Free,Active,Active,outdoorsy; comfy; sporty,4,No,For sale,1.0.0,Yes,BottomsTexPantsHalfJersey1,422,11905,Cgi5fvfgm5YEdCpNu,2E81
athletic shorts,,,Blue,No,560,140,51,Blue,White,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Summer,,Free,Active,Active,outdoorsy; comfy; sporty,5,No,For sale,1.0.0,Yes,BottomsTexPantsHalfJersey3,422,11907,omNsW8d3EgoAs3tLL,2E83
athletic shorts,,,Navy blue,No,560,140,51,Blue,White,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Summer,,Free,Active,Active,outdoorsy; comfy; sporty,6,No,For sale,1.0.0,Yes,BottomsTexPantsHalfJersey5,422,11909,wkX3PL2R5dYC8PNJ2,2E85
basketball shorts,,,Black,No,980,245,51,Black,Red,1x1,880.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Active,Active,sporty; work,1,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBasketball7,849,11313,gRj6pG26jHFQZB8TA,2C31
basketball shorts,,,Red,No,980,245,51,Red,Black,1x1,880.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Active,Active,sporty; work,2,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBasketball1,849,11307,TpYJQMq2Z8tEkK2Wd,2C2B
basketball shorts,,,Orange,No,980,245,51,Orange,Blue,1x1,880.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Active,Active,sporty; work,3,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBasketball3,849,11309,iHFbTwYkKaqut6RnX,2C2D
basketball shorts,,,Yellow,No,980,245,51,Yellow,Green,1x1,880.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Active,Active,sporty; work,4,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBasketball5,849,11311,zjahPrxJ4ZBRcnq74,2C2F
basketball shorts,,,Green,No,980,245,51,Green,Orange,1x1,880.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Active,Active,sporty; work,5,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBasketball2,849,11308,KCggjKmE8js3MG6bq,2C2C
basketball shorts,,,Light blue,No,980,245,51,Aqua,Blue,1x1,880.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Active,Active,sporty; work,6,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBasketball6,849,11312,iDr7MMuWGDqgsh5Be,2C30
basketball shorts,,,Blue,No,980,245,51,Blue,Red,1x1,880.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Active,Active,sporty; work,7,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBasketball4,849,11310,4iB4fmJjkKNNzWJBS,2C2E
basketball shorts,,,Purple,No,980,245,51,Purple,Yellow,1x1,880.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Active,Active,sporty; work,8,No,For sale,1.0.0,Yes,BottomsTexPantsHalfBasketball0,849,5720,yTsGx7eQh4JWNdXB2,1658
bell-bottoms,,,Orange,No,1320,330,51,Orange,Orange,1x1,1200.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Gorgeous,Elegant,everyday,1,No,For sale,1.0.0,Yes,BottomsTexPantsWideBellbottoms0,327,4364,sAGeX7YksW4qTsRz9,110C
bell-bottoms,,,Green,No,1320,330,51,Green,Green,1x1,1200.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,All Year,Free,Gorgeous,Elegant,everyday,2,No,For sale,1.0.0,Yes,BottomsTexPantsWideBellbottoms3,327,9272,tn3suswYrh2ZcD649,2438
bell-bottoms,,,Blue,No,1320,330,51,Blue,Blue,1x1,1200.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Gorgeous,Elegant,everyday,3,No,For sale,1.0.0,Yes,BottomsTexPantsWideBellbottoms4,327,9273,mRdLrYzxuYuP7yqB9,2439
bell-bottoms,,,Brown,No,1320,330,51,Brown,Brown,1x1,1200.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Gorgeous,Elegant,everyday,4,No,For sale,1.0.0,Yes,BottomsTexPantsWideBellbottoms1,327,9270,AhZR3qCS8owvTgWS9,2436
bell-bottoms,,,Beige,No,1320,330,51,Beige,Beige,1x1,1200.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Gorgeous,Elegant,everyday,5,No,For sale,1.0.0,Yes,BottomsTexPantsWideBellbottoms2,327,9271,h5fKoKik2BmT6JPAb,2437
belted wraparound skirt,,,Red,No,1040,260,51,Red,Black,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,Autumn,,Womanly,Simple,Elegant,everyday; comfy,1,No,For sale,1.0.0,Yes,BottomsTexSkirtLongWrap1,429,8721,TuKyTJdQckfqf2nae,2211
belted wraparound skirt,,,Yellow,No,1040,260,51,Yellow,Black,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,Autumn,,Womanly,Simple,Elegant,everyday; comfy,2,No,For sale,1.0.0,Yes,BottomsTexSkirtLongWrap0,429,4545,6j99icX2C8n2NQSxe,11C1
belted wraparound skirt,,,Green,No,1040,260,51,Green,Black,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,Autumn,,Womanly,Simple,Elegant,everyday; comfy,3,No,For sale,1.0.0,Yes,BottomsTexSkirtLongWrap2,429,8722,FCtNFz4XG85wdDcbu,2212
belted wraparound skirt,,,Blue,No,1040,260,51,Blue,Black,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,Autumn,,Womanly,Simple,Elegant,everyday; comfy,4,No,For sale,1.0.0,Yes,BottomsTexSkirtLongWrap3,429,8723,Z3y37JrC5nnCjyFgC,2213
