Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Size,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Lighting Type,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID,Internal ID as hex,Variant Pattern Encoded
bird mobile,,Natural,Color,,,No,No,No,,,,1700,5300,1325,Beige,Beige,4800.0,Poki,1x1,Nook's Cranny; HHP Office,,,,151,child's room,living room,,,,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrSeagullMobileCeiling_Remake_0_0,0_0,13335,yc9t5w3fJfvP3F8KH,3417,"(0, 0)"
bird mobile,,White,Color,,,No,No,No,,,,1700,5300,1325,White,White,4800.0,Poki,1x1,Nook's Cranny; HHP Office,,,,151,child's room,living room,,,,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrSeagullMobileCeiling_Remake_1_0,1_0,13335,a54FKzv6QNNebBCvK,3417,"(1, 0)"
bird mobile,,Red,Color,,,No,No,No,,,,1700,5300,1325,Red,Red,4800.0,Poki,1x1,Nook's Cranny; HHP Office,,,,151,child's room,living room,,,,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrSeagullMobileCeiling_Remake_2_0,2_0,13335,xGJZnBxsaBB2idex7,3417,"(2, 0)"
bird mobile,,Yellow,Color,,,No,No,No,,,,1700,5300,1325,Yellow,Yellow,4800.0,Poki,1x1,Nook's Cranny; HHP Office,,,,151,child's room,living room,,,,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrSeagullMobileCeiling_Remake_3_0,3_0,13335,iKnDfGXqoMb9EQhiz,3417,"(3, 0)"
bird mobile,,Blue,Color,,,No,No,No,,,,1700,5300,1325,Aqua,Aqua,4800.0,Poki,1x1,Nook's Cranny; HHP Office,,,,151,child's room,living room,,,,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrSeagullMobileCeiling_Remake_4_0,4_0,13335,vWQ5eu6s5HSza9Koc,3417,"(4, 0)"
bird mobile,,Pink,Color,,,No,No,No,,,,1700,5300,1325,Pink,Pink,4800.0,Poki,1x1,Nook's Cranny; HHP Office,,,,151,child's room,living room,,,,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrSeagullMobileCeiling_Remake_5_0,5_0,13335,MPa7LBS2LGsiwkg43,3417,"(5, 0)"
bird mobile,,Brown,Color,,,No,No,No,,,,1700,5300,1325,Brown,Brown,4800.0,Poki,1x1,Nook's Cranny; HHP Office,,,,151,child's room,living room,,,,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrSeagullMobileCeiling_Remake_6_0,6_0,13335,4GQ47PzKzBDL7bqcH,3417,"(6, 0)"
bird mobile,,Black,Color,,,No,No,No,,,,1700,5300,1325,Black,Black,4800.0,Poki,1x1,Nook's Cranny; HHP Office,,,,151,child's room,living room,,,,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrSeagullMobileCeiling_Remake_7_0,7_0,13335,eRzRva6sDHJ86zEfJ,3417,"(7, 0)"
candle chandelier,,Black,Variation,,,No,No,No,,,,1700,5400,1350,Black,White,4900.0,Poki,2x2,Nook's Cranny; HHP Office,,,,151,European,expensive,,,Lighting,Yes,CeilingLamp,No,Candle,For sale,2.0.0,Yes,FtrChandelierRetroCeilingL_Remake_0_0,0_0,13475,6hud3fPCPms6mGhnj,34A3,"(0, 0)"
candle chandelier,,White,Variation,,,No,No,No,,,,1700,5400,1350,White,White,4900.0,Poki,2x2,Nook's Cranny; HHP Office,,,,151,European,expensive,,,Lighting,Yes,CeilingLamp,No,Candle,For sale,2.0.0,Yes,FtrChandelierRetroCeilingL_Remake_1_0,1_0,13475,3TTXBjBjXiXYTFiPN,34A3,"(1, 0)"
candle chandelier,,Silver,Variation,,,No,No,No,,,,1700,5400,1350,Gray,White,4900.0,Poki,2x2,Nook's Cranny; HHP Office,,,,151,European,expensive,,,Lighting,Yes,CeilingLamp,No,Candle,For sale,2.0.0,Yes,FtrChandelierRetroCeilingL_Remake_2_0,2_0,13475,kHktsqkYvMFTaY4yW,34A3,"(2, 0)"
