Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Primary Shape,Secondary Shape,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID,Internal ID as hex
academy uniform,,,Gray,No,2080,520.0,51,Gray,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,,Womanly,Womanly,Elegant,Simple,formal; party,1,Yes,Box,L,For sale,1.0.0,Yes,TopsTexOnepieceBoxLYosoiki1,31,9016,zbKRm5Cv5dyiz3y35,2338
academy uniform,,,Red,No,2080,520.0,51,Red,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,,Womanly,Womanly,Elegant,Simple,formal; party,2,Yes,Box,L,For sale,1.0.0,Yes,TopsTexOnepieceBoxLYosoiki2,31,9017,3FSAsaikyEjHkLWcM,2339
academy uniform,,,Navy blue,No,2080,520.0,51,Blue,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,,Womanly,Womanly,Elegant,Simple,formal; party,3,Yes,Box,L,For sale,1.0.0,Yes,TopsTexOnepieceBoxLYosoiki0,31,2699,yfbZu5Nj6wtJSnuDW,0A8B
adventure dress,,,,No,2800,700.0,51,Aqua,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,,Womanly,Womanly,Cute,Cute,fairy tale,1,Yes,Balloon,H,For sale,1.0.0,Yes,TopsTexOnepieceBalloonHStrangeBlue,227,3686,AQZFR4Bzob9Phsr9R,0E66
alpinist dress,,,Red,No,2520,630.0,51,Red,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,,Womanly,Womanly,Cute,Cute,everyday; formal,1,Yes,Balloon,H,For sale,1.0.0,Yes,TopsTexOnepieceBalloonHTyrolean2,68,8616,TkEkCuYTjTEu38axs,21A8
alpinist dress,,,Green,No,2520,630.0,51,Green,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,,Womanly,Womanly,Cute,Cute,everyday; formal,2,Yes,Balloon,H,For sale,1.0.0,Yes,TopsTexOnepieceBalloonHTyrolean0,68,3168,rN77JmGnpSNNeQogP,0C60
alpinist dress,,,Blue,No,2520,630.0,51,Blue,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,,Womanly,Womanly,Cute,Cute,everyday; formal,3,Yes,Balloon,H,For sale,1.0.0,Yes,TopsTexOnepieceBalloonHTyrolean1,68,8615,zkWYtfW3WeDbdSQuy,21A7
alpinist overalls,,,Red,No,2520,630.0,51,Red,Pink,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Elegant,Elegant,everyday; formal,1,Yes,Overall,H,For sale,1.0.0,Yes,TopsTexOnepieceOverallHTyrolean2,368,8632,WWbNFkaxwJMGLSBYj,21B8
alpinist overalls,,,Green,No,2520,630.0,51,Green,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Elegant,Elegant,everyday; formal,2,Yes,Overall,H,For sale,1.0.0,Yes,TopsTexOnepieceOverallHTyrolean0,368,4443,vzaWMkA2s7R6SefHa,115B
alpinist overalls,,,Blue,No,2520,630.0,51,Blue,Aqua,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Elegant,Elegant,everyday; formal,3,Yes,Overall,H,For sale,1.0.0,Yes,TopsTexOnepieceOverallHTyrolean1,368,8631,onM7CM229PHZyRjPd,21B7
ancient belted robe,,,White,No,3640,910.0,51,White,Black,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Manly,Manly,Elegant,Cool,formal,1,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukumen3,773,9160,Fcbj8smE8XoZJuH3h,23C8
ancient belted robe,,,Green,No,3640,910.0,51,Green,Green,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Manly,Manly,Elegant,Cool,formal,2,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukumen1,773,9158,Ta6QSCmpE9nybMPxA,23C6
ancient belted robe,,,Blue,No,3640,910.0,51,Aqua,Blue,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Manly,Manly,Elegant,Cool,formal,3,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukumen0,773,5518,W2KoH5jp8b43CHbsK,158E
ancient belted robe,,,Purple,No,3640,910.0,51,Purple,Black,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Manly,Manly,Elegant,Cool,formal,4,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukumen4,773,9161,2Pz2drQkcbzDF5dXX,23C9
ancient belted robe,,,Beige,No,3640,910.0,51,Beige,Brown,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Manly,Manly,Elegant,Cool,formal,5,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukumen2,773,9159,DFxZQJWvqjzGxpEWw,23C7
