Name,Image,Variation,Body Title,DIY,Customize,Kit Cost,Kit Type,Cyrus Customize Price,Stack Size,Buy,Sell,Source,Source Notes,Season/Event,Season/Event Exclusive,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID,Internal ID as hex,Variant Pattern Encoded
bamboo lattice fence,,,,Yes,No,,,,50,NFS,96,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceBamboo,,3403,XaLnmQsQ47HfHQ9g5,0D4B,
bamboo-slats fence,,,,Yes,No,,,,50,NFS,48,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceSandProtection,,14757,ziM6qEMjHMDPruzz6,39A5,
barbed-wire fence,,,,Yes,No,,,,50,NFS,198,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceBarbedWire,,5213,dNgibaR9jFqaDwuDZ,145D,
block fence,,,,Yes,No,,,,50,NFS,270,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceConcreteBlock,,4355,mKD2vgrBbXSNNPGJ4,1103,
brick fence,,,,Yes,No,,,,50,NFS,120,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceWallRenga,,3080,WAzanA7e5MREzJdMh,0C08,
Bunny Day fence,,,,Yes,No,,,,50,NFS,240,Crafting,,Bunny Day (days before); Bunny Day,Yes,Not for sale,1.1.0,Yes,ItemFenceEgg,,12630,CLQGhAfSNykpxrh3a,3156,
corral fence,,,,Yes,No,,,,50,NFS,72,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceHorizontalWood,,4349,rqwqYy7Aphvh5zBSA,10FD,
corrugated iron fence,,Gray,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,261,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_0_0,0_0,14758,sbRoLarfMrE5YkCL9,39A6,"(0, 0)"
corrugated iron fence,,Yellow,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,261,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_1_0,1_0,14758,tH2nZ6dspXXTRZ65A,39A6,"(1, 0)"
corrugated iron fence,,Green,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,261,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_2_0,2_0,14758,bxWiSjQEdzwvHJGXH,39A6,"(2, 0)"
corrugated iron fence,,Blue,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,261,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_3_0,3_0,14758,ZNwYpAk3yKtvcYb5t,39A6,"(3, 0)"
corrugated iron fence,,Red,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,261,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_4_0,4_0,14758,b4wCAGpeiKNQKn2tN,39A6,"(4, 0)"
corrugated iron fence,,White,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,261,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_5_0,5_0,14758,taWDpCYbwtnxqr68T,39A6,"(5, 0)"
corrugated iron fence,,Black,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,261,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_6_0,6_0,14758,Q9aQS7h5HtJ5jEZQq,39A6,"(6, 0)"
corrugated iron fence,,Brown,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,261,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceCorrugatedIron_Remake_7_0,7_0,14758,TsjJXwxTniq3FWZnR,39A6,"(7, 0)"
country fence,,,,Yes,No,,,,50,NFS,72,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceLog,,4350,twwkbWJ8YsoJEy3j8,10FE,
frozen fence,,Ice,Illumination,Yes,Yes,1.0,Normal,1000.0,50,NFS,200,Crafting,,snowflakes,Yes,Not for sale,2.0.0,Yes,ItemFenceIce_Remake_0_0,0_0,14756,ECXSEhvtE5XqvDLdW,39A4,"(0, 0)"
frozen fence,,Ice blue,Illumination,Yes,Yes,1.0,Normal,1000.0,50,NFS,200,Crafting,,snowflakes,Yes,Not for sale,2.0.0,Yes,ItemFenceIce_Remake_1_0,1_0,14756,kEgodfCvnHHwz9rdj,39A4,"(1, 0)"
frozen fence,,Ice pink,Illumination,Yes,Yes,1.0,Normal,1000.0,50,NFS,200,Crafting,,snowflakes,Yes,Not for sale,2.0.0,Yes,ItemFenceIce_Remake_2_0,2_0,14756,gpnuvutoCkkMppzxz,39A4,"(2, 0)"
frozen fence,,Ice yellow,Illumination,Yes,Yes,1.0,Normal,1000.0,50,NFS,200,Crafting,,snowflakes,Yes,Not for sale,2.0.0,Yes,ItemFenceIce_Remake_3_0,3_0,14756,qvbWqne5MX4Ddrdvn,39A4,"(3, 0)"
frozen fence,,Ice orange,Illumination,Yes,Yes,1.0,Normal,1000.0,50,NFS,200,Crafting,,snowflakes,Yes,Not for sale,2.0.0,Yes,ItemFenceIce_Remake_4_0,4_0,14756,nkFQQ4hRxxRHF38DD,39A4,"(4, 0)"
frozen fence,,Ice green,Illumination,Yes,Yes,1.0,Normal,1000.0,50,NFS,200,Crafting,,snowflakes,Yes,Not for sale,2.0.0,Yes,ItemFenceIce_Remake_5_0,5_0,14756,Cq4BQyuvbqHvzDy8y,39A4,"(5, 0)"
frozen fence,,Ice purple,Illumination,Yes,Yes,1.0,Normal,1000.0,50,NFS,200,Crafting,,snowflakes,Yes,Not for sale,2.0.0,Yes,ItemFenceIce_Remake_6_0,6_0,14756,mGFKRECMp9YowP2Tv,39A4,"(6, 0)"
green bamboo fence,,,,Yes,No,,,,50,NFS,96,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceCrossedBamboo,,14755,LhbRFhRy7eQiPbcSZ,39A3,
hedge,,,,Yes,No,,,,50,NFS,55,Crafting,,,,Not for sale,1.2.0,Yes,ItemFenceIkegaki,,12758,TphLYSh2MdogHdheg,31D6,
imperial fence,,,,Yes,No,,,,50,NFS,120,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceChinese,,4354,fHqt7TXfbhfKnPbwG,1102,
iron fence,,Light blue,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,450,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceSteel_Remake_0_0,0_0,4357,RL5hL24NbwzE7zv3R,1105,"(0, 0)"
iron fence,,Red,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,450,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceSteel_Remake_1_0,1_0,4357,MQmNibiLC5ujWPTjP,1105,"(1, 0)"
iron fence,,Green,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,450,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceSteel_Remake_2_0,2_0,4357,HEZZxvoKnMYyTRCeL,1105,"(2, 0)"
iron fence,,Yellow,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,450,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceSteel_Remake_3_0,3_0,4357,dBoh8bTZLMfGJ44MX,1105,"(3, 0)"
iron fence,,Blue,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,450,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceSteel_Remake_4_0,4_0,4357,abxXLg4FGa52zwAA6,1105,"(4, 0)"
iron fence,,Orange,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,450,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceSteel_Remake_5_0,5_0,4357,rJyoLsjrqB3j2Nwdt,1105,"(5, 0)"
iron fence,,White,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,450,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceSteel_Remake_6_0,6_0,4357,3hjxsDtdySLQGH5Ec,1105,"(6, 0)"
iron fence,,Black,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,450,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceSteel_Remake_7_0,7_0,4357,dtP7xARX2PdA7RtTx,1105,"(7, 0)"
iron-and-stone fence,,,,Yes,No,,,,50,NFS,315,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceIronAndStone,,5206,kjSa4R6JQz2DtWQ2C,1456,
large lattice fence,,Natural,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,120,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceLatticeBig_Remake_0_0,0_0,5208,wABzTyF5CaorKLJq4,1458,"(0, 0)"
large lattice fence,,White,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,120,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceLatticeBig_Remake_1_0,1_0,5208,haq4bAhYphv6KZWAR,1458,"(1, 0)"
large lattice fence,,Brown,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,120,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceLatticeBig_Remake_2_0,2_0,5208,nYAHybQMLgyFoiLRW,1458,"(2, 0)"
large lattice fence,,Black,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,120,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceLatticeBig_Remake_3_0,3_0,5208,tKSabkRhFJePzcoEP,1458,"(3, 0)"
large lattice fence,,Blue,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,120,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceLatticeBig_Remake_4_0,4_0,5208,w2yhQpiefWQrFjwFJ,1458,"(4, 0)"
large lattice fence,,Dark brown,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,120,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceLatticeBig_Remake_5_0,5_0,5208,AmFmL5pujXKGcPbZn,1458,"(5, 0)"
large lattice fence,,Green,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,120,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceLatticeBig_Remake_6_0,6_0,5208,5DqcA5RgRoDxhDtSk,1458,"(6, 0)"
large lattice fence,,Purple,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,120,Crafting,,,,Not for sale,2.0.0,Yes,ItemFenceLatticeBig_Remake_7_0,7_0,5208,TNLhzsvuSoQ5jd7ac,1458,"(7, 0)"
lattice fence,,Natural,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,96,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceLatiiceNatural_Remake_0_0,0_0,11712,qBrhYgaCnEiQYouP6,2DC0,"(0, 0)"
lattice fence,,White,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,96,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceLatiiceNatural_Remake_1_0,1_0,11712,ebx7dWqi7wZaobni3,2DC0,"(1, 0)"
lattice fence,,Black,Color,Yes,Yes,1.0,Normal,1000.0,50,NFS,96,Crafting,,,,Not for sale,1.0.0,Yes,ItemFenceLatiiceNatural_Remake_2_0,2_0,11712,fK8rCXmhRdph5aMaq,2DC0,"(2, 0)"
