Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Type,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID,Internal ID as hex
acorn knit cap,,,Berry red,No,880,220,51,Red,Red,1x1,790.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,,Free,Free,Cute,Active,everyday; comfy,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAcorn3,670,10935,EfbMmL5YGZYtZNgHe,2AB7
acorn knit cap,,,Mustard,No,880,220,51,Yellow,Yellow,1x1,790.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,All Year,Free,Free,Cute,Active,everyday; comfy,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAcorn1,670,10933,ezAwHKyeN45mGvvpH,2AB5
acorn knit cap,,,Avocado,No,880,220,51,Green,Green,1x1,790.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,Winter,Free,Free,Cute,Active,everyday; comfy,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAcorn2,670,10934,we44e3C8foQySY2y7,2AB6
acorn knit cap,,,Navy blue,No,880,220,51,Blue,Blue,1x1,790.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,,Free,Free,Cute,Active,everyday; comfy,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAcorn4,670,10936,FYrdavXDtZWRQ2MqQ,2AB8
acorn knit cap,,,Chestnut,No,880,220,51,Brown,Brown,1x1,790.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,,Free,Free,Cute,Active,everyday; comfy,5,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAcorn0,670,5315,awiucsYWz5zP8GpRg,14C3
acorn knit cap,,,Cream,No,880,220,51,Beige,Beige,1x1,790.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,,Free,Free,Cute,Active,everyday; comfy,6,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAcorn5,670,10937,XTXWXam7Wjt59MTr8,2AB9
alpinist hat,,,Red,No,NFS,500,451,Red,Pink,1x1,,,Gulliver,,,,All Year,All Year,,Free,Free,Simple,Elegant,everyday; formal,1,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatTyrolean2,658,11885,mKejTXKMxXnRBkk4B,2E6D
alpinist hat,,,Green,No,NFS,500,451,Green,Green,1x1,,,Gulliver,,,,All Year,All Year,,Free,Free,Simple,Elegant,everyday; formal,2,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatTyrolean0,658,5295,mYej2cYc7x6mGC8Dj,14AF
alpinist hat,,,Blue,No,NFS,500,451,Blue,Aqua,1x1,,,Gulliver,,,,All Year,All Year,,Free,Free,Simple,Elegant,everyday; formal,3,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatTyrolean1,658,11884,e45yoPx7fjTd9cSwk,2E6C
ancient administrator hat,,,,No,NFS,800,451,Black,Black,1x1,,,Gulliver,,,,All Year,All Year,,Free,Free,Elegant,Elegant,formal; work,1,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatKanboBlack,929,6048,BNBBbdP7uZbY2r3zw,17A0
ancient princess wig,,,,No,2000,500,201,Yellow,Yellow,1x1,,,Nook Shopping Promotion,,,,All Year,All Year,,Free,Free,Elegant,Cute,fairy tale,1,Headgear_HasEar,No,Not in catalog,3.0.0,Yes,CapWigZelda0,1530,1040,mQd2Ab23byFiGCXR2,0410
apple hat,,,,Yes,NFS,1000,103,Red,Yellow,1x1,,,Crafting,,,,All Year,Autumn,,Free,Free,Cute,Cute,fairy tale; party; theatrical,1,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatApple0,1122,9871,rEpxF8jscsm4fwjSf,268F
Aran-knit cap,,,White,No,880,220,51,White,White,1x1,790.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,Winter,Free,Free,Simple,Elegant,everyday; outdoorsy; comfy,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAlan0,1115,9864,6Zi8WYr34D8niHAnC,2688
Aran-knit cap,,,Red,No,880,220,51,Red,Red,1x1,790.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Simple,Elegant,everyday; outdoorsy; comfy,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAlan1,1115,12045,uFfoH47SuuTmAzaXG,2F0D
Aran-knit cap,,,Green,No,880,220,51,Green,Green,1x1,790.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Simple,Elegant,everyday; outdoorsy; comfy,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAlan3,1115,12047,fnowt95fR7QRBrux7,2F0F
Aran-knit cap,,,Blue,No,880,220,51,Blue,Blue,1x1,790.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,,Free,Free,Simple,Elegant,everyday; outdoorsy; comfy,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAlan2,1115,12046,jeSebE2Y5fYhTj22k,2F0E
baby's hat,,,Baby pink,No,560,140,51,Red,White,1x1,500.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,comfy,1,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet4,707,11856,wyPrRhtyyMtn7Hy3Y,2E50
