Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Size,Surface,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID,Internal ID as hex,Variant Pattern Encoded
? Block,,,,,,No,No,No,,,,,1350,337,Yellow,White,1x1,No,,,Nook Shopping Promotion,Not available before March 1st 2021,,,201,fancy,child's room,Mario,,,No,Mario,Yes,Does not play music,No lighting,Not in catalog,1.8.0,Yes,FtrMarioSquareA,,13821,mxpHakMcmNJgMH5eo,35FD,
2021 celebratory arch,,,,,,No,No,No,,,,,2021,505,Yellow,Gray,3x1,No,,,Nook Shopping Seasonal,,New Year's Day (2021),Yes,201,party,,,,,No,Arch,Yes,Does not play music,No lighting,Seasonal,1.6.0,Yes,Ftr2021Arch,,13543,kzegJttZt8DzxwamN,34E7,
2022 celebratory arch,,,,,,No,No,No,,,,,2022,505,Aqua,Gray,3x1,No,,,Nook Shopping Seasonal,,New Year's Day (2022),Yes,201,party,,,,,No,Arch,Yes,Does not play music,No lighting,Seasonal,2.0.0,Yes,Ftr2022Arch,,14590,7sEJLEMRhmr8kh4pG,38FE,
ABD,,Silver,Color,,,No,No,No,,,,8000.0,NFS,49500,Gray,Gray,1x1,No,9900.0,Nook Miles,Nook Miles Redemption,,,,151,facility,city life,,,,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0,Yes,FtrATM_Remake_0_0,0_0,14575,pdwvaGBRsGoyDWcuC,38EF,"(0, 0)"
ABD,,Blue,Color,,,No,No,No,,,,8000.0,NFS,49500,Blue,Aqua,1x1,No,9900.0,Nook Miles,Nook Miles Redemption,,,,151,facility,city life,,,,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0,Yes,FtrATM_Remake_1_0,1_0,14575,8C6KfKTkJ3QLc4ZL9,38EF,"(1, 0)"
ABD,,Yellow,Color,,,No,No,No,,,,8000.0,NFS,49500,Yellow,Gray,1x1,No,9900.0,Nook Miles,Nook Miles Redemption,,,,151,facility,city life,,,,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0,Yes,FtrATM_Remake_2_0,2_0,14575,uPjaQLa2orrPGTofd,38EF,"(2, 0)"
ABD,,Red,Color,,,No,No,No,,,,8000.0,NFS,49500,Red,White,1x1,No,9900.0,Nook Miles,Nook Miles Redemption,,,,151,facility,city life,,,,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0,Yes,FtrATM_Remake_3_0,3_0,14575,uZctRXKg5NeSGiX6w,38EF,"(3, 0)"
ABD,,Green,Color,,,No,No,No,,,,8000.0,NFS,49500,Green,Green,1x1,No,9900.0,Nook Miles,Nook Miles Redemption,,,,151,facility,city life,,,,Yes,Shop,No,Does not play music,No lighting,Not for sale,2.0.0,Yes,FtrATM_Remake_4_0,4_0,14575,WGRGqoKMrQyjombYq,38EF,"(4, 0)"
acoustic guitar,,Natural,Color,,,Yes,Yes,No,,5.0,Normal,3800.0,NFS,3210,Beige,Brown,1x1,No,,,Crafting,,,,103,music,,,,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrAcorsticguitar_Remake_0_0,0_0,383,EpywQXABBcv2dipsP,017F,"(0, 0)"
acoustic guitar,,Cherry,Color,,,Yes,Yes,No,,5.0,Normal,3800.0,NFS,3210,Red,Black,1x1,No,,,Crafting,,,,103,music,,,,MusicalInstrument,Musical Instrument,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,Yes,FtrAcorsticguitar_Remake_1_0,1_0,383,K9she5Y4SuXA8MGBR,017F,"(1, 0)"
