Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Stack Size,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Size,Surface,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Food Power,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID,Internal ID as hex,Variant Pattern Encoded
1-Up Mushroom,,,,,,No,No,No,,1,,,,2000,500,Green,White,1x1,No,,,Nook Shopping Promotion,Not available before March 1st 2021,,,201,fancy,child's room,Mario,,,Yes,Mario,Yes,Does not play music,No lighting,,Not in catalog,1.8.0,Yes,FtrMarioRoundB,,13828,FjDhwLaDCxmTvcJmR,3604,
accessories stand,,White,Color,,,No,No,No,,1,,,1000.0,1500,375,White,Colorful,1x1,No,1400.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,stylish,apparel shop,,,SmallGoods,No,Shop,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrJewelrystand_Remake_0_0,0_0,3948,GWNqLnfaoEkGSFFkF,0F6C,"(0, 0)"
accessories stand,,Pink,Color,,,No,No,No,,1,,,1000.0,1500,375,Pink,Colorful,1x1,No,1400.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,stylish,apparel shop,,,SmallGoods,No,Shop,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrJewelrystand_Remake_1_0,1_0,3948,Sg24qRStpGERdwjyn,0F6C,"(1, 0)"
accessories stand,,Black,Color,,,No,No,No,,1,,,1000.0,1500,375,Black,Colorful,1x1,No,1400.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,stylish,apparel shop,,,SmallGoods,No,Shop,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrJewelrystand_Remake_2_0,2_0,3948,e5hQbi4JvpYYtRSM7,0F6C,"(2, 0)"
accessories stand,,Brown,Color,,,No,No,No,,1,,,1000.0,1500,375,Brown,Colorful,1x1,No,1400.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,stylish,apparel shop,,,SmallGoods,No,Shop,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrJewelrystand_Remake_3_0,3_0,3948,BXBsfGQsnNfJqkQjm,0F6C,"(3, 0)"
accessories stand,,Light blue,Color,,,No,No,No,,1,,,1000.0,1500,375,Aqua,Colorful,1x1,No,1400.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,stylish,apparel shop,,,SmallGoods,No,Shop,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrJewelrystand_Remake_4_0,4_0,3948,jfpXGQCTjbg65PCD9,0F6C,"(4, 0)"
ACNH Nintendo Switch,,,,,,No,No,No,,1,,,,35960,8990,Green,Aqua,1x1,No,32400.0,Poki,Nintendo; Nook Shopping Daily Selection,Mailed to players using the limited edition ACNH Nintendo Switch after the 1.1.0 update in a letter from Nintendo,,,51,child's room,living room,,,Appliance,No,Game Console,No,Does not play music,No lighting,,For sale,1.1.0,Yes,FtrSwitchAC,,12579,4AgPRnxhoQ922pQ4M,3123,
afternoon-tea set,,Silver,Stand color,,,No,No,No,,1,,,1000.0,2600,650,Colorful,White,1x1,No,2300.0,Poki,Nook's Cranny; HHP Office,,,,103,café,fancy,,,Food,No,Dining,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrAfternoonteaset_Remake_0_0,0_0,12775,HEqYNM29e4wDpBahx,31E7,"(0, 0)"
afternoon-tea set,,Gold,Stand color,,,No,No,No,,1,,,1000.0,2600,650,Colorful,Blue,1x1,No,2300.0,Poki,Nook's Cranny; HHP Office,,,,103,café,fancy,,,Food,No,Dining,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrAfternoonteaset_Remake_1_0,1_0,12775,CLL3BYtziSrXkf9Lg,31E7,"(1, 0)"
afternoon-tea set,,White,Stand color,,,No,No,No,,1,,,1000.0,2600,650,Colorful,White,1x1,No,2300.0,Poki,Nook's Cranny; HHP Office,,,,103,café,fancy,,,Food,No,Dining,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrAfternoonteaset_Remake_2_0,2_0,12775,MbpszWotPgENgtkhN,31E7,"(2, 0)"
