Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Customize,Kit Cost,Cyrus Customize Price,Buy,Sell,HHA Base Points,HHA Concept 1,HHA Concept 2,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Season/Event,Season/Event Exclusive,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID,Internal ID as hex,Variant Pattern Encoded
Ace's photo,,Natural wood,Frame,,,No,Yes,1,1000,NFS,10,351,,,Blue,Yellow,1x1,,,High Friendship,,,Not in catalog,2.0.0,Yes,BromideNpcNmlBrd09_Remake_0_0,0_0,12587,gZauKXpNyAnJkzQ3D,312B,"(0, 0)"
Ace's photo,,Dark wood,Frame,,,No,Yes,1,1000,NFS,10,351,,,Blue,Yellow,1x1,,,High Friendship,,,Not in catalog,2.0.0,Yes,BromideNpcNmlBrd09_Remake_1_0,1_0,12587,vFPzJeh5ctvTHkQbm,312B,"(1, 0)"
Ace's photo,,Pastel,Frame,,,No,Yes,1,1000,NFS,10,351,,,Blue,Yellow,1x1,,,High Friendship,,,Not in catalog,2.0.0,Yes,BromideNpcNmlBrd09_Remake_2_0,2_0,12587,H7LsBwFSMaSaDYhSz,312B,"(2, 0)"
Ace's photo,,White,Frame,,,No,Yes,1,1000,NFS,10,351,,,Blue,Yellow,1x1,,,High Friendship,,,Not in catalog,2.0.0,Yes,BromideNpcNmlBrd09_Remake_3_0,3_0,12587,DuCpAkasM9PDTsxhP,312B,"(3, 0)"
Ace's photo,,Pop,Frame,,,No,Yes,1,1000,NFS,10,351,,,Blue,Yellow,1x1,,,High Friendship,,,Not in catalog,2.0.0,Yes,BromideNpcNmlBrd09_Remake_4_0,4_0,12587,tj3WGNfmgBETSSWjq,312B,"(4, 0)"
Ace's photo,,Colorful,Frame,,,No,Yes,1,1000,NFS,10,351,,,Blue,Yellow,1x1,,,High Friendship,,,Not in catalog,2.0.0,Yes,BromideNpcNmlBrd09_Remake_5_0,5_0,12587,bTaGhTb6sJ4m3r4pZ,312B,"(5, 0)"
Ace's photo,,Silver,Frame,,,No,Yes,1,1000,NFS,10,351,,,Blue,Yellow,1x1,,,High Friendship,,,Not in catalog,2.0.0,Yes,BromideNpcNmlBrd09_Remake_6_0,6_0,12587,oEcrZWLGcPu5LFxSB,312B,"(6, 0)"
Ace's photo,,Gold,Frame,,,No,Yes,1,1000,NFS,10,351,,,Blue,Yellow,1x1,,,High Friendship,,,Not in catalog,2.0.0,Yes,BromideNpcNmlBrd09_Remake_7_0,7_0,12587,QpagTzkZ9m5yKEb6j,312B,"(7, 0)"
Admiral's photo,,Natural wood,Frame,,,No,Yes,1,1000,NFS,10,351,,,Green,Blue,1x1,,,High Friendship,,,Not in catalog,1.0.0,Yes,BromideNpcNmlBrd06_Remake_0_0,0_0,6626,QPR5b8GPW4TpNDErv,19E2,"(0, 0)"
Admiral's photo,,Dark wood,Frame,,,No,Yes,1,1000,NFS,10,351,,,Green,Blue,1x1,,,High Friendship,,,Not in catalog,1.0.0,Yes,BromideNpcNmlBrd06_Remake_1_0,1_0,6626,2mPFGZg5voRQPPywP,19E2,"(1, 0)"
