Name,Image,Image SH,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Version Added,Unlocked?,Recipes to Unlock,Category,Crafted Item Internal ID,Card Color,DIY Icon Filename,DIY Icon Filename SH,Serial ID,Internal ID,Unique Entry ID,Internal ID as hex
acorn pochette,,,6,acorn,,,,,,,,,,,NFS,200.0,,,Balloons,,acorns and pine cones,Yes,1.0.0,Yes,0,Equipment,7492,brown,BagShoulderAcorn0,,4682,632,a9FFbP64fTcJ3Cn5E,0278
acorn rug,,,6,acorn,,,,,,,,,,,NFS,200.0,,,Balloons,,acorns and pine cones,Yes,2.0.0,Yes,0,Rugs,12335,brown,RugOtherAcornM00,,4670,838,xhGXhkpGNg7hAjPJj,0346
acoustic guitar,,,8,softwood,3.0,iron nugget,,,,,,,,,NFS,200.0,,,Smug villagers,,,,1.0.0,Yes,0,Housewares,383,brown,FtrAcorsticguitar,,406,44,Y62RymJYgbmZEyQon,002C
aji fry,,,1,horse mackerel,1.0,flour,,,,,,,,,NFS,200.0,,,Catching a horse mackerel,,,,2.0.0,Yes,0,Savory,14163,color_62,FtrFishdishHorsemackere,,13502,943,GZsekGju6nyL83xQw,03AF
anchoas al ajillo,,,2,anchovy,,,,,,,,,,,NFS,200.0,,,Catching an anchovy,,,,2.0.0,Yes,0,Savory,14178,color_62,FtrSkilletAnchovy,,12703,958,nXTTWkTMRKofokAMm,03BE
angled signpost,,,2,hardwood,3.0,softwood,,,,,,,,,NFS,200.0,,,Lazy villagers,,,,1.0.0,Yes,100,Housewares,7867,brown,FtrSignpostTilt,,440,510,BNiDaivRjGNzCckWw,01FE
apple chair,,,10,apple,4.0,wood,,,,,,,,,NFS,200.0,,,Big Sister villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native fruit is apples,,,1.0.0,Yes,100,Housewares,4134,red,FtrFruitsChairApple,,1820,189,HB55bMQf4D57ekNf4,00BD
apple dress,,,8,apple,,,,,,,,,,,NFS,200.0,,,Big Sister villagers,,,,1.0.0,Yes,100,Equipment,9836,red,TopsTexOnepieceAlineNApple0,,1826,621,KmfTvhh3qeyd6WcFJ,026D
apple hat,,,5,apple,,,,,,,,,,,NFS,200.0,,,Big Sister villagers,,,,1.0.0,Yes,100,Equipment,9871,red,CapHatApple0,,1825,622,5ABmQxkN3SatETcEg,026E
apple jam,,,3,apple,,,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Savory,14176,color_76,FtrJarApple,,13615,956,X3pFGdxT7grtx3j2L,03BC
apple jelly,,,2,apple,,,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,13971,color_60,FtrJellyApple,,14305,880,krwsBWLNcoQsKg9zx,0370
apple pie,,,3,flour,2.0,sugar,2.0,apple,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,13944,color_61,FtrPieApple,,14905,857,HA43y4JN2oibvbScj,0359
apple rug,,,6,apple,,,,,,,,,,,NFS,200.0,,,Big Sister villagers,,,,1.0.0,Yes,100,Rugs,7327,red,RugOtherAppleM00,,1823,542,5noTnXTTPzBfbsaz2,021E
apple smoothie,,,2,apple,,,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,14000,color_76,FtrSmoothieApple,,15005,909,dPSuTE5cCPAwcg8cB,038D
apple tart,,,1,flour,1.0,sugar,1.0,apple,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,13947,color_61,FtrTartApple,,14505,860,mweMEg4uTapufPkPZ,035C
