Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID,Internal ID as hex
A tee,,,,No,560,140.0,51,Blue,White,1x1,500.0,Poki,Nook Shopping Daily Selection,,,,All Year,Summer,,Free,Free,Simple,Simple,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHAce0,1038,8532,7XCg953t2tGAPuzaR,2154
acid-washed jacket,,,Black,No,1680,420.0,51,Black,Black,1x1,1500.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,,Free,Free,Simple,Cool,everyday; outdoorsy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLChemical1,652,9538,K96PFk2AuQFqPrKH3,2542
acid-washed jacket,,,Blue,No,1680,420.0,51,Blue,Blue,1x1,1500.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,All Year,Free,Free,Simple,Cool,everyday; outdoorsy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLChemical0,652,5289,zAiLmCwSaWADqXkRf,14A9
after-school jacket,,,Black,No,1050,262.0,51,Black,Red,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,All Year,Free,Free,Cool,Cool,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen0,329,4366,rAfEdHYdt5e4AGTya,110E
after-school jacket,,,White,No,1050,262.0,51,White,Black,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cool,Cool,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen3,329,7556,N6nbrMGHwztxBWTMm,1D84
after-school jacket,,,Gray,No,1050,262.0,51,Gray,White,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cool,Cool,everyday; comfy,3,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen5,329,7558,m279zqujD3zTbp44a,1D86
after-school jacket,,,Berry red,No,1050,262.0,51,Red,Green,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cool,Cool,everyday; comfy,4,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen1,329,7554,mGvZuvYbGma2REd6A,1D82
after-school jacket,,,Green,No,1050,262.0,51,Green,Yellow,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cool,Cool,everyday; comfy,5,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen2,329,7555,YHLqiyRYuF8BwEgaF,1D83
after-school jacket,,,Blue,No,1050,262.0,51,Blue,Purple,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cool,Cool,everyday; comfy,6,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen6,329,7559,KzNwELnmeCmWBQMoD,1D87
after-school jacket,,,Purple,No,1050,262.0,51,Purple,Blue,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cool,Cool,everyday; comfy,7,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen4,329,7557,svQfLQXgrowTDaDoh,1D85
animal-print coat,,,Pink,No,2320,580.0,51,Pink,Pink,1x1,2100.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Free,Free,Cute,Gorgeous,everyday,1,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnimal3,388,8451,rsgnoR4TBYBqJMXBg,2103
animal-print coat,,,Green,No,2320,580.0,51,Green,Green,1x1,2100.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Free,Free,Cute,Gorgeous,everyday,2,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnimal1,388,8449,gWnBj8n2ZKrm8j8zf,2101
animal-print coat,,,Blue,No,2320,580.0,51,Blue,Aqua,1x1,2100.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,Winter,Free,Free,Cute,Gorgeous,everyday,3,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnimal0,388,4465,ozg6yMkXQzsmkjPsW,1171
animal-print coat,,,Purple,No,2320,580.0,51,Purple,Purple,1x1,2100.0,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,,Free,Free,Cute,Gorgeous,everyday,4,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnimal2,388,8450,jKHbF6WwExfSBPBww,2102
animal-stripes tee,,,Zebra,No,960,240.0,51,Gray,Black,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,,Free,Free,Cool,Gorgeous,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHStripe1,1027,12066,gkjWimKdm6sMgiTw8,2F22
animal-stripes tee,,,Tiger,No,960,240.0,51,Yellow,Black,1x1,860.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,,Free,Free,Cool,Gorgeous,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHStripe0,1027,8198,WTG2RBsXk5cimHsis,2006
annyeong tee,,,,No,640,160.0,51,Aqua,White,1x1,580.0,Poki,Nook Shopping Daily Selection,,,,All Year,Summer,,Free,Free,Simple,Simple,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHHellokr0,1171,12117,mfMor9YWpsoEbPK5e,2F55
anorak jacket,,,Red,No,1400,350.0,51,Red,Red,1x1,1300.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,,Free,Free,Simple,Cool,everyday; outdoorsy,1,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnorak1,548,9308,Ws4vh3dya8i8nPtJ9,245C
anorak jacket,,,Blue,No,1400,350.0,51,Blue,Blue,1x1,1300.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,,Free,Free,Simple,Cool,everyday; outdoorsy,2,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnorak2,548,9309,BaiWuWNL9muLeYYkQ,245D
anorak jacket,,,Camel,No,1400,350.0,51,Beige,Beige,1x1,1300.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,,Free,Free,Simple,Cool,everyday; outdoorsy,3,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnorak0,548,4793,agpR79ZTHcuQheDdF,12B9
apron,,,Gray,No,840,210.0,51,Gray,White,1x1,760.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Active,everyday; work,1,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron6,87,9600,QdF6ZF74688kYPLx3,2580
apron,,,Pink,No,840,210.0,51,Pink,White,1x1,760.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Active,everyday; work,2,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron3,87,9597,yT7c96mMafv5QEddb,257D
apron,,,Orange,No,840,210.0,51,Orange,White,1x1,760.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Active,everyday; work,3,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron0,87,3228,LTZqXvkrNxza2nMPb,0C9C
apron,,,Green,No,840,210.0,51,Green,White,1x1,760.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Active,everyday; work,4,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron1,87,9595,d5kmhJqzcK6uT3iJr,257B
apron,,,Light blue,No,840,210.0,51,Aqua,White,1x1,760.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Active,everyday; work,5,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron4,87,9598,EbD6WxjrdSDosTkPa,257E
apron,,,Blue,No,840,210.0,51,Blue,White,1x1,760.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Active,everyday; work,6,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron2,87,9596,sc9Mtxn3PWuAtCtWt,257C
