Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Size,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Lighting Type,Door Deco,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID,Internal ID as hex,Variant Pattern Encoded
air conditioner,,White,Color,,,No,No,No,,,,5200.0,63000,15750,White,White,56700.0,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",,,251,office,living room,,,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,Yes,FtrAirconditioner_Remake_0_0,0_0,929,7EpH4QiWWq6i7j4yp,03A1,"(0, 0)"
air conditioner,,Gray,Color,,,No,No,No,,,,5200.0,63000,15750,Gray,Gray,56700.0,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",,,251,office,living room,,,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,Yes,FtrAirconditioner_Remake_1_0,1_0,929,iWBEC2WbBHnk4ikm3,03A1,"(1, 0)"
air conditioner,,Black,Color,,,No,No,No,,,,5200.0,63000,15750,Black,Black,56700.0,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",,,251,office,living room,,,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,Yes,FtrAirconditioner_Remake_2_0,2_0,929,wPNpj6gofFKDMneeS,03A1,"(2, 0)"
air conditioner,,Pink,Color,,,No,No,No,,,,5200.0,63000,15750,Pink,Pink,56700.0,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",,,251,office,living room,,,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,Yes,FtrAirconditioner_Remake_3_0,3_0,929,SyG8yuDJjnxjRRAYJ,03A1,"(3, 0)"
air conditioner,,Blue,Color,,,No,No,No,,,,5200.0,63000,15750,Aqua,Aqua,56700.0,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",,,251,office,living room,,,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,Yes,FtrAirconditioner_Remake_4_0,4_0,929,fBngP3empPftMfnsB,03A1,"(4, 0)"
air conditioner,,Brown,Color,,,No,No,No,,,,5200.0,63000,15750,Brown,Brown,56700.0,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",,,251,office,living room,,,AC,Yes,Air Conditioning,No,No lighting,No,For sale,1.0.0,Yes,FtrAirconditioner_Remake_5_0,5_0,929,B5d8BvAPL6TJeYMZB,03A1,"(5, 0)"
antique phone,,Brown,Color,,,No,No,No,,,,4500.0,16000,4000,Brown,Yellow,14400.0,Poki,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",,,251,retro,expensive,antique,,Appliance,No,Home Appliances,No,No lighting,No,For sale,1.0.0,Yes,FtrAntiquePhoneW_Remake_0_0,0_0,3953,hJBB3R4NDJrTGhQK7,0F71,"(0, 0)"
antique phone,,Natural,Color,,,No,No,No,,,,4500.0,16000,4000,Beige,Yellow,14400.0,Poki,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",,,251,retro,expensive,antique,,Appliance,No,Home Appliances,No,No lighting,No,For sale,1.0.0,Yes,FtrAntiquePhoneW_Remake_1_0,1_0,3953,6EomSi8yTfRRCoxwn,0F71,"(1, 0)"
antique phone,,Black,Color,,,No,No,No,,,,4500.0,16000,4000,Black,Yellow,14400.0,Poki,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",,,251,retro,expensive,antique,,Appliance,No,Home Appliances,No,No lighting,No,For sale,1.0.0,Yes,FtrAntiquePhoneW_Remake_2_0,2_0,3953,SSHmqTAWCt99jDNq8,0F71,"(2, 0)"
art plaque,,,,,,No,No,No,,,,,NFS,2500,Yellow,Brown,,,1x1,Blathers,Reward for completing the Stamp Rally in the art gallery during International Museum Day,International Museum Day,Yes,437,expensive,den,,,,No,Seasonal Decor,No,No lighting,No,Not for sale,1.10.0,Yes,FtrMuseumArtWall,,14532,bqWxuEiMEpLNvAEgW,38C4,
autograph cards,,Signature,Variation,Musician's signature,Signature,No,No,Yes,Default; Custom,1.0,Normal,1000.0,1400,350,White,White,1300.0,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",,,151,shop,restaurant,,,,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrAutograph_Remake_0_0,0_0,1899,HpebEX4QbjWeQGmPb,076B,"(0, 0)"
autograph cards,,Signature,Variation,Comedian's signature,Signature,No,No,Yes,Default; Custom,1.0,Normal,1000.0,1400,350,White,White,1300.0,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",,,151,shop,restaurant,,,,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrAutograph_Remake_0_1,0_1,1899,agiS2suZcLp3cZp7x,076B,"(0, 32)"
autograph cards,,Handprints,Variation,Musician's signature,Signature,No,No,Yes,Default; Custom,1.0,Normal,1000.0,1400,350,Beige,White,1300.0,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",,,151,shop,restaurant,,,,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrAutograph_Remake_1_0,1_0,1899,XzBB69cXctRGbKen7,076B,"(1, 0)"
autograph cards,,Handprints,Variation,Comedian's signature,Signature,No,No,Yes,Default; Custom,1.0,Normal,1000.0,1400,350,Beige,White,1300.0,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",,,151,shop,restaurant,,,,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrAutograph_Remake_1_1,1_1,1899,vwk5njowHf3GkRcFq,076B,"(1, 32)"
autograph cards,,Illustration,Variation,Musician's signature,Signature,No,No,Yes,Default; Custom,1.0,Normal,1000.0,1400,350,Beige,White,1300.0,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",,,151,shop,restaurant,,,,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrAutograph_Remake_2_0,2_0,1899,mvuDgsouHqTwejnpx,076B,"(2, 0)"
autograph cards,,Illustration,Variation,Comedian's signature,Signature,No,No,Yes,Default; Custom,1.0,Normal,1000.0,1400,350,Beige,White,1300.0,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",,,151,shop,restaurant,,,,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrAutograph_Remake_2_1,2_1,1899,3brxKrQHt4tHAmJ5S,076B,"(2, 32)"
autograph cards,,Words of wisdom,Variation,Musician's signature,Signature,No,No,Yes,Default; Custom,1.0,Normal,1000.0,1400,350,Beige,White,1300.0,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",,,151,shop,restaurant,,,,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrAutograph_Remake_3_0,3_0,1899,7c4SDPyoLDewHz9Pg,076B,"(3, 0)"
autograph cards,,Words of wisdom,Variation,Comedian's signature,Signature,No,No,Yes,Default; Custom,1.0,Normal,1000.0,1400,350,Beige,White,1300.0,Poki,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",,,151,shop,restaurant,,,,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrAutograph_Remake_3_1,3_1,1899,yRB4GuGA6L86EBg5K,076B,"(3, 32)"
bamboo wall decoration,,Green bamboo,Bamboo,,,Yes,Yes,No,,1.0,Normal,1000.0,NFS,160,Green,Red,,,0.5x1,Crafting,,,,201,harmonious,,bamboo,,Plant,No,Plants,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBambooFlowerwall_Remake_0_0,0_0,3558,pbECjLkaDPDQ5dNXp,0DE6,"(0, 0)"
bamboo wall decoration,,Dried bamboo,Bamboo,,,Yes,Yes,No,,1.0,Normal,1000.0,NFS,160,Yellow,Red,,,0.5x1,Crafting,,,,201,harmonious,,bamboo,,Plant,No,Plants,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBambooFlowerwall_Remake_1_0,1_0,3558,QRLmHZaqguF5iy3hC,0DE6,"(1, 0)"
bamboo wall decoration,,Smoke-cured bamboo,Bamboo,,,Yes,Yes,No,,1.0,Normal,1000.0,NFS,160,Brown,Green,,,0.5x1,Crafting,,,,201,harmonious,,bamboo,,Plant,No,Plants,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBambooFlowerwall_Remake_2_0,2_0,3558,mNdcYvRwAHytnXPkp,0DE6,"(2, 0)"
bathroom towel rack,,Silver,Color,,,No,No,No,,,,1000.0,1400,350,Gray,White,1300.0,Poki,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,,,151,bathroom,public bath,,,,No,Bathroom Things,No,No lighting,No,For sale,1.0.0,Yes,FtrTowelrackWall_Remake_0_0,0_0,4030,3mD27HBCBkjy4beMd,0FBE,"(0, 0)"
bathroom towel rack,,Gold,Color,,,No,No,No,,,,1000.0,1400,350,Yellow,Brown,1300.0,Poki,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,,,151,bathroom,public bath,,,,No,Bathroom Things,No,No lighting,No,For sale,1.0.0,Yes,FtrTowelrackWall_Remake_1_0,1_0,4030,diaLMBMgpNoGW7dmg,0FBE,"(1, 0)"
bathroom towel rack,,Copper,Color,,,No,No,No,,,,1000.0,1400,350,Brown,Pink,1300.0,Poki,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,,,151,bathroom,public bath,,,,No,Bathroom Things,No,No lighting,No,For sale,1.0.0,Yes,FtrTowelrackWall_Remake_2_0,2_0,4030,WKsy8zDRasXY5xQTt,0FBE,"(2, 0)"
bathroom towel rack,,Black,Color,,,No,No,No,,,,1000.0,1400,350,Black,Gray,1300.0,Poki,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,,,151,bathroom,public bath,,,,No,Bathroom Things,No,No lighting,No,For sale,1.0.0,Yes,FtrTowelrackWall_Remake_3_0,3_0,4030,o9DTtEZtFwAwXyZw2,0FBE,"(3, 0)"
