Name,Image,VFX,VFX Type,DIY,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID,Internal ID as hex
abstract wall,,No,,No,1560,390,White,Colorful,1400.0,Poki,Nook's Cranny,,,,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,151,restaurant,facility,,Cloth Walls,For sale,1.0.0,Yes,RoomTexWallAbstract00,4873,FpdbDr4PMe5WdEZkA,1309
airplane wall,,Yes,Synchro,No,3000,750,White,White,,,Saharah's Co-op,,,,,,,,,Cloth,451,facility,,,Special Walls,Not for sale,2.0.0,Yes,RoomSpWallAirplane00,5497,Z62odoapxLDBurx9r,1579
ancient wall,,No,,No,3000,750,Beige,Brown,,,Saharah; Saharah's Co-op,,,,,,,,,Stone,451,ancient,,,Asia,Not for sale,1.0.0,Yes,RoomTexWallEgypt00,4936,Y2pykQMhqbEoGGa62,1348
antique brick wall,,No,,No,3000,750,Brown,Black,,,Saharah's Co-op,,,,Four Pane,Dark Wood,Glass,,,Stone,451,café,restaurant,,Brick,Not for sale,2.0.0,Yes,RoomTexWallAntique00,13331,ETTnjcgHmkCL56GxD,3413
apparel-shop wall,,No,,No,3000,750,Colorful,White,,,Saharah's Co-op,,,,,,,,,Stone,451,apparel shop,,,WallFacility,Not for sale,2.0.0,Yes,RoomTexWallDisplay00,12911,njfAsLH73QkJBxgg5,326F
apple wall,,No,,Yes,NFS,4000,Red,Red,,,Crafting,,,,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,103,fancy,child's room,fruits,Fruit Walls,Not for sale,1.0.0,Yes,RoomTexWallApple00,4916,roJZFWataeLQK6vqa,1334
aqua tile wall,,No,,No,1420,355,Aqua,Aqua,1300.0,Poki,Nook's Cranny,,,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,151,bathroom,public bath,,Tile Walls,For sale,1.0.0,Yes,RoomTexWallTile01,4930,6NXvjsdpxJLbd96RM,1342
arched-window wall,,Yes,,No,2150,537,Brown,Aqua,1900.0,Poki,Nook's Cranny,,,,,,,,,Wood,151,restaurant,European,,Special Walls,For sale,1.0.0,Yes,RoomSpWallGlass00,5482,TzS5oe6a7KyBezmLS,156A
aurora wall,,Yes,Synchro,No,7000,1750,Blue,Aqua,,,Nook Shopping Seasonal,,Winter Solstice,Yes,,,,,,Plain,201,freezing cold,,,Special Cool Nature Walls,Seasonal,1.6.0,Yes,RoomSpWallAurora00,13609,9FGZqwB77ofG4cC8k,3529
autumn wall,,Yes,Random,Yes,NFS,4700,Brown,Orange,,,Crafting,,maple leaves,Yes,,,,,,Wood,201,garden,nature,tree's bounty or leaves,Special Warm Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallAutumun00,4905,KfLqJKhWtys8v86ig,1329
backyard-fence wall,,Yes,Synchro,No,3000,750,Aqua,White,,,Saharah; Saharah's Co-op,,,,,,,,,Plain,451,garden,local,,Special Cool Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallBackyard00,5481,oPYWjEfm7BqHTYipq,1569
bamboo wall,,No,,Yes,NFS,2400,Green,Beige,,,Crafting,,,,,,,,,Wood,103,harmonious,retro,bamboo,Nature Walls,Not for sale,1.0.0,Yes,RoomTexWallBamboo00,4833,MYpD6DoNCPDw6d9t3,12E1
bamboo-grove wall,,No,,Yes,NFS,4300,Green,Green,,,Crafting,,young spring bamboo,Yes,,,,,,Wood,201,harmonious,garden,bamboo,Nature Walls,Not for sale,1.0.0,Yes,RoomTexWallChikurin00,4853,LbsrED9Rwg6SHTCpa,12F5
bamboo-screen wall,,No,,No,1770,442,Brown,Brown,1600.0,Poki,Nook's Cranny,,,,,,,,,Stone,151,heritage,harmonious,,Wood Walls,For sale,1.0.0,Yes,RoomTexWallRattan00,4836,MZt39wkPG6P7iWG2M,12E4
bank-vault wall,,No,,No,3000,750,Gray,Gray,,,Saharah; Saharah's Co-op,,,,,,,,,Tile,451,facility,expensive,,Iron Walls,Not for sale,1.0.0,Yes,RoomTexWallSafeBox00,4839,HrgjLfo8tPzP2zpbE,12E7
basic wall,,Yes,,No,600,150,White,White,540.0,Poki,Nook's Cranny,,,,,,,,,Tile,151,office,facility,,Special Walls,For sale,1.0.0,Yes,RoomSpWallSimplePanel00,5559,FJxKPu5W2sd2YWQfA,15B7
bathhouse wall,,No,,No,3000,750,Aqua,Aqua,,,Saharah's Co-op,,,,,,,,,Stone,451,bathroom,public bath,,Neta Walls,Not for sale,2.0.0,Yes,RoomTexWallPublicBath00,4829,x5kZ8HpHrN5mXe8wX,12DD
beaded-curtain wall,,No,,No,1720,430,White,Orange,1500.0,Poki,Nook's Cranny,,,,Four Pane,Natural Wood,Glass,Curtains,White Lace,Wood,151,shop,kitchen,,Cloth Walls,For sale,1.0.0,Yes,RoomTexWallBeadsCurtain00,4877,M3mNZS2vSaHaiujcH,130D
beige art-deco wall,,No,,No,2780,695,Beige,Beige,2500.0,Poki,Nook's Cranny,,,,Arch,Wood,Glass,,,Wood,151,European,living room,,Art Deco Walls,For sale,1.0.0,Yes,RoomTexWallArtDeco00,4817,2zmJaMB2B9i8gLTKt,12D1
